start new simulation
TRONROUT0000000073538821 capacity : 16.56019323499368
TRONROUT0000000073539131 capacity : 130.18832512940628
TRONROUT0000000222907348 capacity : 190.18584286400005
TRONROUT0000000073543233 capacity : 98.0132644093442
TRONROUT0000000073543278 capacity : 399.4481050187413
TRONROUT0000000073543888 capacity : 106.49808395422758
TRONROUT0000000073494628 capacity : 47.90484318687618
TRONROUT0000000073494627 capacity : 64.5109504220336
TRONROUT0000000073515697 capacity : 231.25398837939116
TRONROUT0000000073516035 capacity : 1009.0549549777187
TRONROUT0000000073535475 capacity : 1075.3961490603026
TRONROUT0000000222415713 capacity : 51.03920062069938
TRONROUT0000000222415716 capacity : 52.23102526274801
TRONROUT0000000318963584 capacity : 171.14560247406203
TRONROUT0000000073480347 capacity : 1172.7911711705792
TRONROUT0000000329822605 capacity : 942.1357084990814
TRONROUT0000000073523314 capacity : 785.5534518580614
TRONROUT0000002203820179 capacity : 261.9103093316031
TRONROUT0000002244279349 capacity : 110.84122257298979
TRONROUT0000002244279352 capacity : 9.297311439269455
TRONROUT0000002244279353 capacity : 4.0
TRONROUT0000002244279354 capacity : 9.442986815754074
TRONROUT0000000073547905 capacity : 70.063082405254
TRONROUT0000000073547914 capacity : 80.59836022302042
TRONROUT0000000073547933 capacity : 193.74957746266898
TRONROUT0000000073547934 capacity : 25.90829982838447
TRONROUT0000000073547936 capacity : 62.748365867018904
TRONROUT0000000073547937 capacity : 38.03853154282602
TRONROUT0000000073547938 capacity : 31.100903630076715
TRONROUT0000000073547939 capacity : 167.16099914565442
TRONROUT0000000073547959 capacity : 4.3680659328391265
TRONROUT0000000073547963 capacity : 181.20168799562407
TRONROUT0000000073547991 capacity : 255.87528211999472
TRONROUT0000000073547992 capacity : 100.33543740941845
TRONROUT0000000073548017 capacity : 27.684652788165597
TRONROUT0000000101745649 capacity : 37.950246633572064
TRONROUT0000000101745653 capacity : 49.596900665923066
TRONROUT0000000101899282 capacity : 66.24917343083362
TRONROUT0000000101899283 capacity : 71.5100831161808
TRONROUT0000000220103151 capacity : 13.352153384106192
TRONROUT0000000102663773 capacity : 60.001278923453555
TRONROUT0000000102663799 capacity : 41.39094816078176
TRONROUT0000000102663800 capacity : 76.65466033228893
TRONROUT0000000102663801 capacity : 25.314413139963374
TRONROUT0000000102663802 capacity : 48.129025509565416
TRONROUT0000000102663803 capacity : 34.978346717107414
TRONROUT0000000102663814 capacity : 30.330038447587295
TRONROUT0000000102663830 capacity : 44.471350637903804
TRONROUT0000000102663981 capacity : 116.97897060331171
TRONROUT0000000102663982 capacity : 123.92413200704857
TRONROUT0000000102663991 capacity : 61.779391107937045
TRONROUT0000000102664126 capacity : 20.689051680173048
TRONROUT0000000102664210 capacity : 24.28075061816658
TRONROUT0000000102664296 capacity : 52.910316178829326
TRONROUT0000000102664297 capacity : 35.2621326348301
TRONROUT0000000338082924 capacity : 16.464666654834698
TRONROUT0000000073479928 capacity : 49.11587256271106
TRONROUT0000000101745657 capacity : 49.40818634925445
TRONROUT0000000073479995 capacity : 290.65313265637957
TRONROUT0000000073480006 capacity : 85.81976484151326
TRONROUT0000000223320557 capacity : 316.55703216546425
TRONROUT0000000223323794 capacity : 27.291756997928417
TRONROUT0000000073479966 capacity : 733.9802941340671
TRONROUT0000000073479416 capacity : 28.194210074283905
TRONROUT0000002223373182 capacity : 25.781065454989868
TRONROUT0000002223373185 capacity : 55.23377699759347
TRONROUT0000002223373186 capacity : 94.84698497579417
TRONROUT0000002223373183 capacity : 56.86148525477053
TRONROUT0000002223373196 capacity : 5.3338541411265235
TRONROUT0000002223373198 capacity : 18.417879598399388
TRONROUT0000002223373025 capacity : 34.61548176847208
TRONROUT0000002223373482 capacity : 36.86702043706159
TRONROUT0000002223402534 capacity : 14.850168412693224
TRONROUT0000002223402535 capacity : 510.29306748529154
TRONROUT0000002000211586 capacity : 47.82324575865843
TRONROUT0000000073459441 capacity : 728.7012840546615
TRONROUT0000000296521221 capacity : 359.5718148019056
TRONROUT0000000073459442 capacity : 448.04079874068714
TRONROUT0000000302650949 capacity : 1606.5529172800539
TRONROUT0000000073455956 capacity : 155.88783834532165
TRONROUT0000002223410552 capacity : 62.52487263047053
TRONROUT0000002223410591 capacity : 23.87429197908145
TRONROUT0000002223410630 capacity : 33.21358540708344
TRONROUT0000000339577310 capacity : 20.88466598696298
TRONROUT0000000222477669 capacity : 48.07593687786062
TRONROUT0000002223455214 capacity : 36.02124373191823
TRONROUT0000002223456817 capacity : 214.23528310213786
TRONROUT0000002223456820 capacity : 224.9772248088947
TRONROUT0000002223462182 capacity : 342.55469636216753
TRONROUT0000000073479233 capacity : 1251.6119109914384
TRONROUT0000000073517075 capacity : 249.2839392228916
TRONROUT0000002223410556 capacity : 35.69762042258515
TRONROUT0000000073459443 capacity : 442.025457416995
TRONROUT0000000073466548 capacity : 210.60117397047838
TRONROUT0000000073476640 capacity : 62.94410218566998
TRONROUT0000000073487349 capacity : 133.91862764440637
TRONROUT0000000073503438 capacity : 321.9453696944221
TRONROUT0000000229925778 capacity : 64.05332050517315
TRONROUT0000000339766478 capacity : 62.30775638934978
TRONROUT0000000073487346 capacity : 221.50115738378938
TRONROUT0000000073494025 capacity : 402.6420857678553
TRONROUT0000002000750852 capacity : 329.4207186090347
TRONROUT0000000073486878 capacity : 80.7566608013067
TRONROUT0000000073517040 capacity : 337.2451414684092
TRONROUT0000000223310549 capacity : 139.8110911163707
TRONROUT0000000073494476 capacity : 1199.3735914916776
TRONROUT0000000073517189 capacity : 426.01190562310273
TRONROUT0000000073472415 capacity : 42.0689909545949
TRONROUT0000000073481292 capacity : 1068.5226020791652
TRONROUT0000000073493466 capacity : 128.35285751535923
TRONROUT0000000073494028 capacity : 317.82518531117074
TRONROUT0000002000211585 capacity : 35.70014005589572
TRONROUT0000000073487338 capacity : 60.67356241003035
TRONROUT0000000073503477 capacity : 66.4798499169209
TRONROUT0000000073476822 capacity : 22.063544591969254
TRONROUT0000000073517026 capacity : 30.835855753229012
TRONROUT0000000073517220 capacity : 15.840454539292722
TRONROUT0000000073485349 capacity : 10.751744046049371
TRONROUT0000002206943984 capacity : 211.82255827815675
TRONROUT0000000073486799 capacity : 94.33106412543532
TRONROUT0000000073486710 capacity : 11.580155439715083
TRONROUT0000000073487365 capacity : 205.6014427284635
TRONROUT0000000073486745 capacity : 178.56052516587346
TRONROUT0000000073486902 capacity : 647.69463748001
TRONROUT0000002009235026 capacity : 77.09611854785592
TRONROUT0000000073522280 capacity : 684.3348367617302
TRONROUT0000002223813132 capacity : 30.306873956342592
TRONROUT0000002244667020 capacity : 27.777934919725368
TRONROUT0000002223818099 capacity : 79.32902024573977
TRONROUT0000002223818219 capacity : 8.421637467209745
TRONROUT0000002223818525 capacity : 17.70197729088487
TRONROUT0000002223818755 capacity : 85.73395767335785
TRONROUT0000002223811323 capacity : 146.74880624770688
TRONROUT0000002223815667 capacity : 1294.248338289718
TRONROUT0000002223816478 capacity : 451.9229824368411
TRONROUT0000002223816594 capacity : 1765.1441235933817
TRONROUT0000002223816605 capacity : 386.1382435214134
TRONROUT0000002223816659 capacity : 49.873289832041664
TRONROUT0000002223816608 capacity : 1993.4786023075862
TRONROUT0000002223818059 capacity : 23.321234957712633
